"","row","column","cor","p"
"109","Broken Stereotypes","Nationalism",0.186,0
"110","Colorblindness","Nationalism",0.151,0
"111","Romantic Stereotypes","Nationalism",0.309,0
"112","Contact","Nationalism",0.052,0.005
"113","Extended","Nationalism",0.045,0.015
"114","Familiar Products (sum)","Nationalism",0.059,0.002
"115","Products Used (sum)","Nationalism",0.226,0
"117","Native SDO adaptation","Nationalism",0.21,0
"118","Conflict","Nationalism",0.281,0
"119","SLB (comp)","Nationalism",0.574,0
"120","Racism Mini (comp)","Nationalism",0.455,0
"121","Columbus Day","Tough",-0.188,0
"122","Indigenous Peoples' Day","Tough",-0.19,0
"123","Cultural Racism","Tough",0.406,0
"124","Broken Stereotypes","Tough",0.325,0
"126","Romantic Stereotypes","Tough",0.082,0
"127","Contact","Tough",0.068,0
"128","Extended","Tough",0.061,0.001
"129","Familiar Products (sum)","Tough",-0.069,0
"130","Products Used (sum)","Tough",0.071,0
"132","Native SDO adaptation","Tough",0.343,0
"133","Conflict","Tough",0.332,0
"134","SLB (comp)","Tough",0.353,0
"135","Racism Mini (comp)","Tough",0.29,0
"136","Nationalism","Tough",0.314,0
"137","Columbus Day","Anti Feminist",-0.161,0
"138","Indigenous Peoples' Day","Anti Feminist",-0.177,0
"139","Cultural Racism","Anti Feminist",0.476,0
"140","Broken Stereotypes","Anti Feminist",0.481,0
"141","Colorblindness","Anti Feminist",-0.062,0.001
"142","Romantic Stereotypes","Anti Feminist",0.037,0.048
"144","Extended","Anti Feminist",-0.041,0.03
"145","Familiar Products (sum)","Anti Feminist",-0.215,0
"147","FamiliarExpressions (sum)","Anti Feminist",-0.171,0
"148","Native SDO adaptation","Anti Feminist",0.453,0
"149","Conflict","Anti Feminist",0.437,0
"150","SLB (comp)","Anti Feminist",0.341,0
"151","Racism Mini (comp)","Anti Feminist",0.278,0
"152","Nationalism","Anti Feminist",0.283,0
"153","Tough","Anti Feminist",0.565,0
"154","Columbus Day","College Education",0.068,0
"155","Indigenous Peoples' Day","College Education",0.078,0
"156","Cultural Racism","College Education",-0.048,0.011
"157","Broken Stereotypes","College Education",-0.056,0.003
"158","Colorblindness","College Education",-0.141,0
"159","Romantic Stereotypes","College Education",-0.149,0
"160","Contact","College Education",-0.061,0.001
"161","Extended","College Education",-0.055,0.004
"163","Products Used (sum)","College Education",-0.067,0
"166","Conflict","College Education",-0.064,0.001
"167","SLB (comp)","College Education",-0.078,0
"168","Racism Mini (comp)","College Education",-0.153,0
"169","Nationalism","College Education",-0.097,0
"170","Tough","College Education",-0.077,0
"172","Columbus Day","Inivisibility",0.159,0
"173","Indigenous Peoples' Day","Inivisibility",0.198,0
"175","Broken Stereotypes","Inivisibility",0.144,0
"177","Romantic Stereotypes","Inivisibility",-0.068,0
"178","Contact","Inivisibility",0.433,0
"179","Extended","Inivisibility",0.367,0
"181","Products Used (sum)","Inivisibility",0.138,0
"186","Racism Mini (comp)","Inivisibility",-0.084,0
"188","Tough","Inivisibility",0.103,0
"189","Anti Feminist","Inivisibility",0.114,0
"191","Columbus Day","Past Guilt",0.264,0
"192","Indigenous Peoples' Day","Past Guilt",0.375,0
"193","Cultural Racism","Past Guilt",-0.284,0
"194","Broken Stereotypes","Past Guilt",-0.171,0
"199","Familiar Products (sum)","Past Guilt",0.093,0
"201","FamiliarExpressions (sum)","Past Guilt",0.068,0
"202","Native SDO adaptation","Past Guilt",-0.402,0
"203","Conflict","Past Guilt",-0.245,0
"204","SLB (comp)","Past Guilt",-0.335,0
"205","Racism Mini (comp)","Past Guilt",-0.404,0
"206","Nationalism","Past Guilt",-0.112,0
"207","Tough","Past Guilt",-0.248,0
"208","Anti Feminist","Past Guilt",-0.179,0
"210","Inivisibility","Past Guilt",0.201,0
"211","Columbus Day","Historic Knowledge (%)",0.088,0
"212","Indigenous Peoples' Day","Historic Knowledge (%)",0.109,0
"213","Cultural Racism","Historic Knowledge (%)",-0.195,0
"214","Broken Stereotypes","Historic Knowledge (%)",-0.201,0
"216","Romantic Stereotypes","Historic Knowledge (%)",-0.037,0.05
"217","Contact","Historic Knowledge (%)",0.127,0
"218","Extended","Historic Knowledge (%)",0.126,0
"219","Familiar Products (sum)","Historic Knowledge (%)",0.261,0
"220","Products Used (sum)","Historic Knowledge (%)",0.128,0
"221","FamiliarExpressions (sum)","Historic Knowledge (%)",0.28,0
"222","Native SDO adaptation","Historic Knowledge (%)",-0.162,0
"223","Conflict","Historic Knowledge (%)",-0.273,0
"224","SLB (comp)","Historic Knowledge (%)",-0.16,0
"225","Racism Mini (comp)","Historic Knowledge (%)",-0.227,0
"226","Nationalism","Historic Knowledge (%)",-0.096,0
"227","Tough","Historic Knowledge (%)",-0.041,0.028
"228","Anti Feminist","Historic Knowledge (%)",-0.149,0
"229","College Education","Historic Knowledge (%)",0.121,0
"230","Inivisibility","Historic Knowledge (%)",0.198,0
"231","Past Guilt","Historic Knowledge (%)",0.145,0
"232","Columbus Day","Contemporary Knowledge (%)",0.117,0
"233","Indigenous Peoples' Day","Contemporary Knowledge (%)",0.13,0
"234","Cultural Racism","Contemporary Knowledge (%)",-0.191,0
"235","Broken Stereotypes","Contemporary Knowledge (%)",-0.153,0
"236","Colorblindness","Contemporary Knowledge (%)",-0.041,0.029
"238","Contact","Contemporary Knowledge (%)",0.191,0
"239","Extended","Contemporary Knowledge (%)",0.179,0
"240","Familiar Products (sum)","Contemporary Knowledge (%)",0.156,0
"241","Products Used (sum)","Contemporary Knowledge (%)",0.083,0
"242","FamiliarExpressions (sum)","Contemporary Knowledge (%)",0.135,0
"243","Native SDO adaptation","Contemporary Knowledge (%)",-0.143,0
"244","Conflict","Contemporary Knowledge (%)",-0.234,0
"245","SLB (comp)","Contemporary Knowledge (%)",-0.135,0
"246","Racism Mini (comp)","Contemporary Knowledge (%)",-0.2,0
"247","Nationalism","Contemporary Knowledge (%)",-0.088,0
"248","Tough","Contemporary Knowledge (%)",-0.091,0
"249","Anti Feminist","Contemporary Knowledge (%)",-0.111,0
"250","College Education","Contemporary Knowledge (%)",0.116,0
"251","Inivisibility","Contemporary Knowledge (%)",0.253,0
"252","Past Guilt","Contemporary Knowledge (%)",0.138,0
"253","Historic Knowledge (%)","Contemporary Knowledge (%)",0.634,0
"254","Columbus Day","General Knowledge (%)",0.112,0
"255","Indigenous Peoples' Day","General Knowledge (%)",0.131,0
"256","Cultural Racism","General Knowledge (%)",-0.214,0
"257","Broken Stereotypes","General Knowledge (%)",-0.198,0
"260","Contact","General Knowledge (%)",0.173,0
"261","Extended","General Knowledge (%)",0.166,0
"262","Familiar Products (sum)","General Knowledge (%)",0.236,0
"263","Products Used (sum)","General Knowledge (%)",0.119,0
"264","FamiliarExpressions (sum)","General Knowledge (%)",0.236,0
"265","Native SDO adaptation","General Knowledge (%)",-0.17,0
"266","Conflict","General Knowledge (%)",-0.282,0
"267","SLB (comp)","General Knowledge (%)",-0.164,0
"268","Racism Mini (comp)","General Knowledge (%)",-0.237,0
"269","Nationalism","General Knowledge (%)",-0.102,0
"270","Tough","General Knowledge (%)",-0.071,0
"271","Anti Feminist","General Knowledge (%)",-0.145,0
"272","College Education","General Knowledge (%)",0.131,0
"273","Inivisibility","General Knowledge (%)",0.247,0
"274","Past Guilt","General Knowledge (%)",0.157,0
"275","Historic Knowledge (%)","General Knowledge (%)",0.92,0
"276","Contemporary Knowledge (%)","General Knowledge (%)",0.886,0
"277","Columbus Day","Material Concerns",0.418,0
"278","Indigenous Peoples' Day","Material Concerns",0.542,0
"279","Cultural Racism","Material Concerns",-0.452,0
"280","Broken Stereotypes","Material Concerns",-0.36,0
"282","Romantic Stereotypes","Material Concerns",0.08,0
"285","Familiar Products (sum)","Material Concerns",0.098,0
"287","FamiliarExpressions (sum)","Material Concerns",0.057,0.002
"288","Native SDO adaptation","Material Concerns",-0.712,0
"289","Conflict","Material Concerns",-0.447,0
"290","SLB (comp)","Material Concerns",-0.553,0
"291","Racism Mini (comp)","Material Concerns",-0.645,0
"292","Nationalism","Material Concerns",-0.238,0
"293","Tough","Material Concerns",-0.263,0
"294","Anti Feminist","Material Concerns",-0.299,0
"295","College Education","Material Concerns",0.06,0.002
"296","Inivisibility","Material Concerns",0.143,0
"297","Past Guilt","Material Concerns",0.466,0
"298","Historic Knowledge (%)","Material Concerns",0.177,0
"299","Contemporary Knowledge (%)","Material Concerns",0.187,0
"300","General Knowledge (%)","Material Concerns",0.201,0
"301","Columbus Day","Contemporary Invisibility",-0.075,0
"302","Indigenous Peoples' Day","Contemporary Invisibility",-0.136,0
"303","Cultural Racism","Contemporary Invisibility",0.539,0
"304","Broken Stereotypes","Contemporary Invisibility",0.549,0
"306","Romantic Stereotypes","Contemporary Invisibility",-0.11,0
"308","Extended","Contemporary Invisibility",-0.046,0.015
"309","Familiar Products (sum)","Contemporary Invisibility",-0.269,0
"310","Products Used (sum)","Contemporary Invisibility",-0.054,0.005
"311","FamiliarExpressions (sum)","Contemporary Invisibility",-0.217,0
"312","Native SDO adaptation","Contemporary Invisibility",0.469,0
"313","Conflict","Contemporary Invisibility",0.511,0
"314","SLB (comp)","Contemporary Invisibility",0.25,0
"315","Racism Mini (comp)","Contemporary Invisibility",0.253,0
"316","Nationalism","Contemporary Invisibility",0.121,0
"317","Tough","Contemporary Invisibility",0.325,0
"318","Anti Feminist","Contemporary Invisibility",0.465,0
"320","Inivisibility","Contemporary Invisibility",0.113,0
"321","Past Guilt","Contemporary Invisibility",-0.19,0
"322","Historic Knowledge (%)","Contemporary Invisibility",-0.173,0
"323","Contemporary Knowledge (%)","Contemporary Invisibility",-0.125,0
"324","General Knowledge (%)","Contemporary Invisibility",-0.167,0
"325","Material Concerns","Contemporary Invisibility",-0.321,0
"326","Columbus Day","Race",0.052,0.006
"328","Cultural Racism","Race",-0.06,0.001
"329","Broken Stereotypes","Race",-0.043,0.021
"332","Contact","Race",0.167,0
"333","Extended","Race",0.133,0
"334","Familiar Products (sum)","Race",0.067,0
"336","FamiliarExpressions (sum)","Race",0.083,0
"338","Conflict","Race",-0.066,0
"339","SLB (comp)","Race",-0.053,0.004
"341","Nationalism","Race",-0.066,0
"343","Anti Feminist","Race",-0.061,0.001
"344","College Education","Race",-0.04,0.035
"345","Inivisibility","Race",0.076,0
"346","Past Guilt","Race",0.044,0.021
"347","Historic Knowledge (%)","Race",0.087,0
"348","Contemporary Knowledge (%)","Race",0.065,0.001
"349","General Knowledge (%)","Race",0.085,0
"352","Columbus Day","Intimacy",0.057,0.017
"353","Indigenous Peoples' Day","Intimacy",0.09,0
"354","Cultural Racism","Intimacy",-0.11,0
"356","Colorblindness","Intimacy",0.112,0
"358","Contact","Intimacy",0.464,0
"359","Extended","Intimacy",0.421,0
"360","Familiar Products (sum)","Intimacy",0.119,0
"361","Products Used (sum)","Intimacy",0.126,0
"362","FamiliarExpressions (sum)","Intimacy",0.051,0.034
"363","Native SDO adaptation","Intimacy",-0.095,0
"364","Conflict","Intimacy",-0.11,0
"369","Anti Feminist","Intimacy",-0.117,0
"371","Inivisibility","Intimacy",0.327,0
"372","Past Guilt","Intimacy",0.103,0
"373","Historic Knowledge (%)","Intimacy",0.112,0
"374","Contemporary Knowledge (%)","Intimacy",0.142,0
"375","General Knowledge (%)","Intimacy",0.139,0
"376","Material Concerns","Intimacy",0.11,0
"377","Contemporary Invisibility","Intimacy",-0.081,0.001
"378","Race","Intimacy",0.122,0
